,BOARDID,TRADEDATE,SHORTNAME,SECID,NUMTRADES,VALUE,OPEN,LOW,HIGH,LEGALCLOSEPRICE,WAPRICE,CLOSE,VOLUME,MARKETPRICE2,MARKETPRICE3,ADMITTEDQUOTE,MP2VALTRD,MARKETPRICE3TRADESVALUE,ADMITTEDVALUE,WAVAL,TRADINGSESSION,CURRENCYID,TRENDCLSPR
87,TQBR,2020-06-22,МосБиржа,MOEX,17474,879761918.1,115.95,114.66,116.45,116.0,115.38,116.0,7624850,115.37,115.37,116.0,859669993.6,859669993.6,859669993.6,0.0,3,SUR,0.29
88,TQBR,2020-06-19,МосБиржа,MOEX,16538,1510955876.0,116.18,115.1,116.5,115.67,115.74,115.67,13055000,115.74,115.74,115.67,1510955876.0,1510955876.0,1510955876.0,,3,SUR,0.44
89,TQBR,2020-06-18,МосБиржа,MOEX,23828,1100777600.1,115.58,114.94,116.55,115.16,115.85,115.16,9501850,115.85,115.85,115.16,1100777600.1,1100777600.1,1100777600.1,,3,SUR,0.14
90,TQBR,2020-06-17,МосБиржа,MOEX,16789,1317515334.0,116.4,115.0,117.26,115.0,116.01,115.0,11358150,116.0,116.0,115.0,1317515334.0,1317515334.0,1317515334.0,,3,SUR,-0.97
91,TQBR,2020-06-16,МосБиржа,MOEX,15683,1145931588.2,116.57,116.13,117.59,116.13,116.87,116.13,9804110,116.88,116.88,116.13,1145931588.2,1145931588.2,1145931588.2,,3,SUR,-0.09
0,TQBR,2020-06-16,МосБиржа,MOEX,15683,1145931588.2,116.57,116.13,117.59,116.13,116.87,116.13,9804110,116.88,116.88,116.13,1145931588.2,1145931588.2,1145931588.2,,3,SUR,-0.09
1,TQBR,2020-06-15,МосБиржа,MOEX,25944,1332610199.8,114.88,111.38,116.44,116.24,114.93,116.24,11594730,114.93,114.93,116.24,1332610199.8,1332610199.8,1332610199.8,,3,SUR,0.16
2,TQBR,2020-06-11,МосБиржа,MOEX,15873,958973501.7,115.18,114.06,116.46,116.05,115.26,116.05,8320100,115.26,115.26,116.05,958973501.7,958973501.7,958973501.7,,3,SUR,0.55
3,TQBR,2020-06-10,МосБиржа,MOEX,15911,850746231.6,115.39,115.1,116.5,115.42,115.8,115.42,7346880,115.8,115.8,115.42,850746231.6,850746231.6,850746231.6,,3,SUR,0.32
4,TQBR,2020-06-09,МосБиржа,MOEX,23639,1147780328.7,116.8,114.51,117.39,115.05,115.28,115.05,9956070,115.28,115.28,115.05,1147780328.7,1147780328.7,1147780328.7,,3,SUR,-1.38
5,TQBR,2020-06-08,МосБиржа,MOEX,22964,1340558171.0,118.56,116.0,119.17,116.66,117.27,116.66,11432790,117.26,117.26,116.66,1340558171.0,1340558171.0,1340558171.0,,3,SUR,-1.37
6,TQBR,2020-06-05,МосБиржа,MOEX,18144,998306415.1,118.75,117.3,118.95,118.28,118.22,118.28,8445120,118.21,118.21,118.28,998306415.1,998306415.1,998306415.1,,3,SUR,-0.1
7,TQBR,2020-06-04,МосБиржа,MOEX,22880,1496457981.4,118.5,115.83,119.57,118.4,117.61,118.4,12721470,117.63,117.63,118.4,1496457981.4,1496457981.4,1496457981.4,,3,SUR,-0.07
8,TQBR,2020-06-03,МосБиржа,MOEX,45549,2716006043.2,115.57,115.38,119.35,118.48,117.53,118.48,23107850,117.54,117.54,118.48,2716006043.2,2716006043.2,2716006043.2,,3,SUR,2.58
